City	FAA	IATA	ICAO	Airport	Role	Enplanements
Cleveland	CLE	CLE	KCLE	Cleveland Hopkins International Airport	P-M	4,701,713
Pittsburgh	PIT	PIT	KPIT	Pittsburgh International Airport	P-M	4,670,033
Indianapolis	IND	IND	KIND	Indianapolis International Airport	P-M	4,655,847
Fort Myers	RSW	RSW	KRSW	Southwest Florida International Airport	P-M	4,602,113
Cincinnati/Covington	CVG	CVG	KCVG	Cincinnati/Northern Kentucky International Airport	P-M	4,269,258
San Juan / Carolina	SJU	SJU	TJSJ	Luis Muñoz Marín International Airport	P-M	4,033,412
Columbus	CMH	CMH	KCMH	John Glenn Columbus International Airport	P-M	3,976,620
Kahului, Maui	OGG	OGG	PHOG	Kahului Airport	P-M	3,571,660
Milwaukee	MKE	MKE	KMKE	Milwaukee Mitchell International Airport	P-M	3,496,724
Hartford	BDL	BDL	KBDL	Bradley International Airport	P-M	3,378,035
West Palm Beach	PBI	PBI	KPBI	Palm Beach International Airport	P-M	3,270,605
Jacksonville	JAX	JAX	KJAX	Jacksonville International Airport	P-M	3,135,508
Burbank	BUR	BUR	KBUR	Hollywood Burbank Airport (was Bob Hope Airport)	P-M	2,680,240
Albuquerque	ABQ	ABQ	KABQ	Albuquerque International Sunport	P-M	2,647,269
Anchorage	ANC	ANC	PANC	Ted Stevens Anchorage International Airport	P-M	2,642,607
Buffalo	BUF	BUF	KBUF	Buffalo Niagara International Airport	P-M	2,523,158
Ontario	ONT	ONT	KONT	Ontario International Airport	P-M	2,498,993
Omaha	OMA	OMA	KOMA	Eppley Airfield	P-M	2,454,878
Memphis	MEM	MEM	KMEM	Memphis International Airport	P-S	2,213,083
Charleston	CHS	CHS	KCHS	Charleston International Airport / Charleston AFB	P-S	2,192,893
Providence	PVD	PVD	KPVD	Rhode Island T. F. Green International Airport	P-S	2,117,409
Oklahoma City	OKC	OKC	KOKC	Will Rogers World Airport	P-S	2,094,708
Reno	RNO	RNO	KRNO	Reno/Tahoe International Airport	P-S	2,048,916
Richmond	RIC	RIC	KRIC	Richmond International Airport (Byrd Field)	P-S	2,048,691
Boise	BOI	BOI	KBOI	Boise Airport (Boise Air Terminal) (Gowen Field)	P-S	1,943,181
Long Beach	LGB	LGB	KLGB	Long Beach Airport (Daugherty Field)	P-S	1,908,635
Louisville	SDF	SDF	KSDF	Louisville International Airport (Standiford Field)	P-S	1,877,861
Spokane	GEG	GEG	KGEG	Spokane International Airport (Geiger Field)	P-S	1,872,781
Norfolk	ORF	ORF	KORF	Norfolk International Airport	P-S	1,846,031
Kailua-Kona, Hawaii	KOA	KOA	PHKO	Ellison Onizuka Kona International Airport at Keahole	P-S	1,829,020
Tucson	TUS	TUS	KTUS	Tucson International Airport	P-S	1,753,227
Agana / Tamuning	GUM	GUM	PGUM	Antonio B. Won Pat International Airport	P-S	1,736,131
Lihue, Kauai	LIH	LIH	PHLI	Lihue Airport	P-S	1,644,590
Grand Rapids	GRR	GRR	KGRR	Gerald R. Ford International Airport	P-S	1,631,398
El Paso	ELP	ELP	KELP	El Paso International Airport	P-S	1,605,486
Sanford	SFB	SFB	KSFB	Orlando Sanford International Airport	P-S	1,504,888
Tulsa	TUL	TUL	KTUL	Tulsa International Airport	P-S	1,482,908
Albany	ALB	ALB	KALB	Albany International Airport	P-S	1,440,674
Savannah	SAV	SAV	KSAV	Savannah/Hilton Head International Airport	P-S	1,356,660
Des Moines	DSM	DSM	KDSM	Des Moines International Airport	P-S	1,347,876
Rochester	ROC	ROC	KROC	Frederick Douglass/Greater Rochester International Airport	P-S	1,281,908
Myrtle Beach	MYR	MYR	KMYR	Myrtle Beach International Airport	P-S	1,254,307
Palm Springs	PSP	PSP	KPSP	Palm Springs International Airport	P-S	1,163,883
Syracuse	SYR	SYR	KSYR	Syracuse Hancock International Airport	P-S	1,139,568
Greenville	GSP	GSP	KGSP	Greenville–Spartanburg International Airport (Roger Milliken Field)	P-S	1,133,012
St. Petersburg	PIE	PIE	KPIE	St. Pete–Clearwater International Airport	P-S	1,115,886
Birmingham	BHM	BHM	KBHM	Birmingham–Shuttlesworth International Airport	P-S	1,081,328
Knoxville	TYS	TYS	KTYS	McGhee Tyson Airport	P-S	1,069,565
Portland	PWM	PWM	KPWM	Portland International Jetport	P-S	1,062,873
Madison	MSN	MSN	KMSN	Dane County Regional Airport (Truax Field)	P-S	1,043,185
Little Rock	LIT	LIT	KLIT	Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National)	P-S	1,031,258
Pensacola	PNS	PNS	KPNS	Pensacola International Airport	P-S	972,081
Greensboro	GSO	GSO	KGSO	Piedmont Triad International Airport	P-S	938,593
Manchester	MHT	MHT	KMHT	Manchester–Boston Regional Airport	P-S	911,225
Dayton	DAY	DAY	KDAY	James M. Cox Dayton International Airport	P-S	858,022
Fresno	FAT	FAT	KFAT	Fresno Yosemite International Airport	P-S	853,538
Colorado Springs	COS	COS	KCOS	City of Colorado Springs Municipal Airport	P-S	845,742
Wichita	ICT	ICT	KICT	Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport)	P-S	812,252
New York / Islip	ISP	ISP	KISP	Long Island MacArthur Airport	P-S	811,535
White Plains	HPN	HPN	KHPN	Westchester County Airport	P-S	789,283
Punta Gorda	PGD	PGD	KPGD	Punta Gorda Airport	P-S	787,022
Mesa	IWA	AZA	KIWA	Phoenix–Mesa Gateway Airport (formerly Williams AFB)	P-S	778,972
Springfield	SPI	SPI	KSPI	Abraham Lincoln Capital Airport	P-N	776,950
Fayetteville	XNA	XNA	KXNA	Northwest Arkansas National Airport	P-S	759,127
Sarasota	SRQ	SRQ	KSRQ	Sarasota–Bradenton International Airport	P-S	685,001
Fort Walton Beach	VPS	VPS	KVPS	Destin–Fort Walton Beach Airport / Eglin Air Force Base	P-S	683,759
Bozeman	BZN	BZN	KBZN	Bozeman Yellowstone International Airport (was Gallatin Field)	P-S	670,295
Burlington	BTV	BTV	KBTV	Burlington International Airport	P-S	658,879
Lexington	LEX	LEX	KLEX	Blue Grass Airport	P-S	657,018
Harrisburg	MDT	MDT	KMDT	Harrisburg International Airport	P-S	636,756
Midland / Odessa	MAF	MAF	KMAF	Midland International Air and Space Port	P-S	618,794
Cedar Rapids	CID	CID	KCID	Eastern Iowa Airport	P-S	602,058
Hilo, Hawaii	ITO	ITO	PHTO	Hilo International Airport	P-S	599,148
Obyan, Saipan Island	GSN	SPN	PGSN	Saipan International Airport (Francisco C. Ada)	P-S	595,181
Asheville	AVL	AVL	KAVL	Asheville Regional Airport	P-S	573,206
Atlantic City	ACY	ACY	KACY	Atlantic City International Airport	P-S	568,958
Eugene	EUG	EUG	KEUG	Mahlon Sweet Field	P-S	566,832
Columbia	CAE	CAE	KCAE	Columbia Metropolitan Airport	P-S	566,660
Fairbanks	FAI	FAI	PAFA	Fairbanks International Airport	P-S	549,289
Sioux Falls	FSD	FSD	KFSD	Joe Foss Field	P-S	529,895
Springfield	SGF	SGF	KSGF	Springfield–Branson National Airport	P-S	523,108
Panama City	ECP	ECP	KECP	Northwest Florida Beaches International Airport	P-S	512,423
Chattanooga	CHA	CHA	KCHA	Lovell Field	P-S	504,833
Medford	MFR	MFR	KMFR	Rogue Valley International–Medford Airport	P-S	492,217
Jackson	JAN	JAN	KJAN	Jackson–Medgar Wiley Evers International Airport	P-S	489,454
